# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "-a" "results/annotation/E745_Annotation_Final_Polished/E745_Final.gff" "-o" "results/rnaseq/counts/gene_counts.txt" "results/rnaseq/alignment/ERR1797969_Serum.bam" "results/rnaseq/alignment/ERR1797970_Serum.bam" "results/rnaseq/alignment/ERR1797971_Serum.bam" "results/rnaseq/alignment/ERR1797972_BHI.bam" "results/rnaseq/alignment/ERR1797973_BHI.bam" "results/rnaseq/alignment/ERR1797974_BHI.bam" 
Geneid	Chr	Start	End	Strand	Length	results/rnaseq/alignment/ERR1797969_Serum.bam	results/rnaseq/alignment/ERR1797970_Serum.bam	results/rnaseq/alignment/ERR1797971_Serum.bam	results/rnaseq/alignment/ERR1797972_BHI.bam	results/rnaseq/alignment/ERR1797973_BHI.bam	results/rnaseq/alignment/ERR1797974_BHI.bam
MJEHNMBL_00072	E745_Chromosome_SuperHybrid_pilon	80117	80350	+	234	1	0	0	0	2	0
MJEHNMBL_00073	E745_Chromosome_SuperHybrid_pilon	80380	80472	+	93	0	0	0	0	0	0
MJEHNMBL_00074	E745_Chromosome_SuperHybrid_pilon	80747	81265	+	519	4	0	9	0	8	4
MJEHNMBL_00075	E745_Chromosome_SuperHybrid_pilon	81396	82064	+	669	0	0	0	0	2	0
MJEHNMBL_00076	E745_Chromosome_SuperHybrid_pilon	82075	83490	+	1416	4	2	0	2	1	2
MJEHNMBL_00077	E745_Chromosome_SuperHybrid_pilon	83508	84077	+	570	2	0	0	0	0	0
MJEHNMBL_00078	E745_Chromosome_SuperHybrid_pilon	84187	85941	+	1755	2	4	6	2	0	8
MJEHNMBL_00079	E745_Chromosome_SuperHybrid_pilon	85925	87667	+	1743	8	11	4	14	10	10
MJEHNMBL_00080	E745_Chromosome_SuperHybrid_pilon	88190	88459	+	270	0	1	1	4	2	8
MJEHNMBL_00081	E745_Chromosome_SuperHybrid_pilon	88474	88653	+	180	0	0	2	0	0	3
MJEHNMBL_00082	E745_Chromosome_SuperHybrid_pilon	88685	89062	+	378	0	2	4	6	8	11
MJEHNMBL_00083	E745_Chromosome_SuperHybrid_pilon	89083	89232	+	150	2	0	1	0	0	2
MJEHNMBL_00084	E745_Chromosome_SuperHybrid_pilon	89256	90239	+	984	10	11	18	16	4	14
MJEHNMBL_00085	E745_Chromosome_SuperHybrid_pilon	90269	90391	+	123	0	2	2	0	0	0
MJEHNMBL_00086	E745_Chromosome_SuperHybrid_pilon	90409	91932	+	1524	20	21	16	16	10	22
MJEHNMBL_00087	E745_Chromosome_SuperHybrid_pilon	91956	92195	+	240	4	2	0	4	0	2
MJEHNMBL_00088	E745_Chromosome_SuperHybrid_pilon	93044	93262	-	219	0	0	0	2	0	0
MJEHNMBL_00089	E745_Chromosome_SuperHybrid_pilon	93380	94996	+	1617	2	4	10	30	24	22
MJEHNMBL_00090	E745_Chromosome_SuperHybrid_pilon	95237	96364	-	1128	2	2	0	2	6	2
MJEHNMBL_00091	E745_Chromosome_SuperHybrid_pilon	96389	96577	-	189	0	0	0	2	0	2
MJEHNMBL_00092	E745_Chromosome_SuperHybrid_pilon	97200	97394	-	195	0	0	2	2	4	2
MJEHNMBL_00093	E745_Chromosome_SuperHybrid_pilon	98150	98341	-	192	0	0	2	0	0	0
MJEHNMBL_00094	E745_Chromosome_SuperHybrid_pilon	98435	98821	-	387	0	0	2	0	0	0
MJEHNMBL_00095	E745_Chromosome_SuperHybrid_pilon	99515	100720	+	1206	0	2	2	8	6	10
MJEHNMBL_00096	E745_Chromosome_SuperHybrid_pilon	100737	101171	+	435	0	2	0	0	4	4
MJEHNMBL_00097	E745_Chromosome_SuperHybrid_pilon	101789	107716	+	5928	34	34	24	49	60	90
MJEHNMBL_00098	E745_Chromosome_SuperHybrid_pilon	107850	109193	+	1344	2	0	0	0	0	2
MJEHNMBL_00099	E745_Chromosome_SuperHybrid_pilon	109305	110756	+	1452	0	0	2	0	0	10
MJEHNMBL_00100	E745_Chromosome_SuperHybrid_pilon	111105	111737	+	633	0	0	0	4	2	8
MJEHNMBL_00101	E745_Chromosome_SuperHybrid_pilon	112325	113764	+	1440	4	6	6	16	20	24
MJEHNMBL_00102	E745_Chromosome_SuperHybrid_pilon	114526	114741	+	216	4	9	2	20	16	21
MJEHNMBL_00103	E745_Chromosome_SuperHybrid_pilon	115401	116312	-	912	0	0	0	0	2	2
MJEHNMBL_00104	E745_Chromosome_SuperHybrid_pilon	116331	117335	-	1005	0	0	0	0	0	0
MJEHNMBL_00105	E745_Chromosome_SuperHybrid_pilon	117332	119455	-	2124	2	0	2	0	0	4
MJEHNMBL_00106	E745_Chromosome_SuperHybrid_pilon	119460	121907	-	2448	0	2	2	0	0	0
MJEHNMBL_00107	E745_Chromosome_SuperHybrid_pilon	121894	122283	-	390	0	0	0	0	0	0
MJEHNMBL_00108	E745_Chromosome_SuperHybrid_pilon	122343	122846	-	504	0	0	0	0	0	0
MJEHNMBL_00109	E745_Chromosome_SuperHybrid_pilon	123187	125097	-	1911	0	0	0	2	4	6
MJEHNMBL_00110	E745_Chromosome_SuperHybrid_pilon	125843	125980	-	138	0	0	0	0	0	0
MJEHNMBL_00111	E745_Chromosome_SuperHybrid_pilon	125977	127161	-	1185	0	0	0	0	0	0
MJEHNMBL_00112	E745_Chromosome_SuperHybrid_pilon	127420	127710	-	291	0	0	0	0	0	0
MJEHNMBL_00113	E745_Chromosome_SuperHybrid_pilon	127700	128407	-	708	2	0	4	2	0	0
MJEHNMBL_00114	E745_Chromosome_SuperHybrid_pilon	128408	128842	-	435	0	0	2	0	0	0
MJEHNMBL_00115	E745_Chromosome_SuperHybrid_pilon	128918	129082	-	165	16	14	7	5	3	7
MJEHNMBL_00116	E745_Chromosome_SuperHybrid_pilon	129075	129749	-	675	59	76	52	32	29	46
MJEHNMBL_00117	E745_Chromosome_SuperHybrid_pilon	129827	130066	-	240	0	0	2	0	0	0
MJEHNMBL_00118	E745_Chromosome_SuperHybrid_pilon	130160	132019	-	1860	0	2	0	2	2	5
MJEHNMBL_00119	E745_Chromosome_SuperHybrid_pilon	132734	133879	-	1146	2	4	7	4	4	6
MJEHNMBL_00120	E745_Chromosome_SuperHybrid_pilon	133962	134297	-	336	0	0	0	0	0	0
MJEHNMBL_00121	E745_Chromosome_SuperHybrid_pilon	134307	134681	-	375	0	0	0	0	0	0
MJEHNMBL_00122	E745_Chromosome_SuperHybrid_pilon	134694	135008	-	315	0	0	0	0	0	0
MJEHNMBL_00123	E745_Chromosome_SuperHybrid_pilon	135121	138348	-	3228	2	0	4	2	2	4
MJEHNMBL_00124	E745_Chromosome_SuperHybrid_pilon	139205	139420	+	216	0	0	0	0	0	0
MJEHNMBL_00125	E745_Chromosome_SuperHybrid_pilon	139423	140340	+	918	8	22	30	6	11	13
MJEHNMBL_00126	E745_Chromosome_SuperHybrid_pilon	140333	141115	+	783	8	3	5	4	2	0
MJEHNMBL_00127	E745_Chromosome_SuperHybrid_pilon	141137	141796	+	660	6	8	0	16	7	12
MJEHNMBL_00128	E745_Chromosome_SuperHybrid_pilon	141789	142685	+	897	16	35	16	24	28	52
MJEHNMBL_00129	E745_Chromosome_SuperHybrid_pilon	142880	144529	+	1650	34	43	42	18	16	26
MJEHNMBL_00130	E745_Chromosome_SuperHybrid_pilon	144869	144976	+	108	1	3	1	0	2	1
MJEHNMBL_00131	E745_Chromosome_SuperHybrid_pilon	145123	146058	+	936	16	34	27	64	54	101
MJEHNMBL_00132	E745_Chromosome_SuperHybrid_pilon	146051	146821	+	771	6	6	8	13	12	16
MJEHNMBL_00133	E745_Chromosome_SuperHybrid_pilon	147237	148220	+	984	17	22	12	87	61	93
MJEHNMBL_00134	E745_Chromosome_SuperHybrid_pilon	148667	149704	+	1038	16	24	18	18	18	44
MJEHNMBL_00135	E745_Chromosome_SuperHybrid_pilon	149793	150116	-	324	1	2	0	26	10	12
MJEHNMBL_00136	E745_Chromosome_SuperHybrid_pilon	150103	150810	-	708	4	4	0	12	8	36
MJEHNMBL_00137	E745_Chromosome_SuperHybrid_pilon	150896	151237	+	342	2	0	0	0	0	0
MJEHNMBL_00138	E745_Chromosome_SuperHybrid_pilon	151408	152256	-	849	5	6	0	1	2	2
MJEHNMBL_00139	E745_Chromosome_SuperHybrid_pilon	152854	153717	+	864	4	7	2	8	2	14
MJEHNMBL_00140	E745_Chromosome_SuperHybrid_pilon	153817	154299	+	483	14	28	18	6	6	10
MJEHNMBL_00141	E745_Chromosome_SuperHybrid_pilon	154562	155029	-	468	6	8	4	16	8	14
MJEHNMBL_00142	E745_Chromosome_SuperHybrid_pilon	155152	156003	+	852	4	4	4	0	8	15
MJEHNMBL_00143	E745_Chromosome_SuperHybrid_pilon	156003	156101	+	99	0	0	0	0	0	0
MJEHNMBL_00144	E745_Chromosome_SuperHybrid_pilon	156254	158212	-	1959	6	5	4	26	36	56
MJEHNMBL_00145	E745_Chromosome_SuperHybrid_pilon	158209	159081	-	873	6	4	2	19	25	41
MJEHNMBL_00146	E745_Chromosome_SuperHybrid_pilon	159423	160295	-	873	6	5	4	6	0	14
MJEHNMBL_00147	E745_Chromosome_SuperHybrid_pilon	160423	160992	+	570	2	1	0	0	2	0
MJEHNMBL_00148	E745_Chromosome_SuperHybrid_pilon	161059	161796	+	738	40	20	40	6	12	12
MJEHNMBL_00149	E745_Chromosome_SuperHybrid_pilon	162027	163295	+	1269	100	126	119	343	316	424
MJEHNMBL_00150	E745_Chromosome_SuperHybrid_pilon	163782	164246	+	465	2	2	1	20	7	30
MJEHNMBL_00151	E745_Chromosome_SuperHybrid_pilon	164230	164622	+	393	0	0	2	12	10	17
MJEHNMBL_00152	E745_Chromosome_SuperHybrid_pilon	164619	164858	+	240	1	0	3	4	15	18
MJEHNMBL_00153	E745_Chromosome_SuperHybrid_pilon	165212	166690	+	1479	10	10	2	6	7	16
MJEHNMBL_00154	E745_Chromosome_SuperHybrid_pilon	166737	167183	+	447	0	0	2	6	8	34
MJEHNMBL_00155	E745_Chromosome_SuperHybrid_pilon	167382	167897	-	516	50	36	28	14	18	30
MJEHNMBL_00156	E745_Chromosome_SuperHybrid_pilon	168014	168283	+	270	0	0	0	0	0	0
MJEHNMBL_00157	E745_Chromosome_SuperHybrid_pilon	168283	169215	+	933	2	0	0	0	0	0
MJEHNMBL_00158	E745_Chromosome_SuperHybrid_pilon	169588	169914	+	327	16	20	24	6	13	12
MJEHNMBL_00159	E745_Chromosome_SuperHybrid_pilon	170031	170375	-	345	33	42	24	44	43	63
MJEHNMBL_00160	E745_Chromosome_SuperHybrid_pilon	170451	171698	-	1248	70	73	87	133	97	185
MJEHNMBL_00161	E745_Chromosome_SuperHybrid_pilon	171695	172501	-	807	25	21	33	22	33	42
MJEHNMBL_00162	E745_Chromosome_SuperHybrid_pilon	172731	173258	+	528	28	50	35	44	40	67
MJEHNMBL_00163	E745_Chromosome_SuperHybrid_pilon	173321	174691	+	1371	86	92	64	120	106	205
MJEHNMBL_00164	E745_Chromosome_SuperHybrid_pilon	174725	175882	+	1158	70	72	92	66	76	118
MJEHNMBL_00165	E745_Chromosome_SuperHybrid_pilon	176052	177512	+	1461	235	248	240	356	378	727
MJEHNMBL_00166	E745_Chromosome_SuperHybrid_pilon	177834	178370	+	537	15	18	20	63	39	47
MJEHNMBL_00167	E745_Chromosome_SuperHybrid_pilon	178367	179779	+	1413	33	43	29	144	124	195
MJEHNMBL_00168	E745_Chromosome_SuperHybrid_pilon	179776	180171	+	396	22	16	16	44	48	76
MJEHNMBL_00169	E745_Chromosome_SuperHybrid_pilon	180164	181024	+	861	31	45	45	60	113	146
MJEHNMBL_00170	E745_Chromosome_SuperHybrid_pilon	181028	181558	+	531	29	25	21	91	30	75
MJEHNMBL_00171	E745_Chromosome_SuperHybrid_pilon	181635	182213	+	579	2	0	0	0	2	4
MJEHNMBL_00172	E745_Chromosome_SuperHybrid_pilon	182328	182573	+	246	90	169	116	60	89	103
MJEHNMBL_00173	E745_Chromosome_SuperHybrid_pilon	182666	183112	+	447	34	22	20	18	20	48
MJEHNMBL_00174	E745_Chromosome_SuperHybrid_pilon	183171	183632	-	462	36	50	52	44	56	88
MJEHNMBL_00175	E745_Chromosome_SuperHybrid_pilon	183884	185152	+	1269	20	21	17	41	21	49
MJEHNMBL_00176	E745_Chromosome_SuperHybrid_pilon	185145	186431	+	1287	42	48	60	58	58	93
MJEHNMBL_00177	E745_Chromosome_SuperHybrid_pilon	187209	188093	+	885	63	68	75	91	117	173
MJEHNMBL_00178	E745_Chromosome_SuperHybrid_pilon	188302	188880	+	579	40	70	68	80	90	140
MJEHNMBL_00179	E745_Chromosome_SuperHybrid_pilon	189120	190361	+	1242	29	39	24	73	70	120
MJEHNMBL_00180	E745_Chromosome_SuperHybrid_pilon	190470	191519	+	1050	253	332	293	324	305	515
MJEHNMBL_00181	E745_Chromosome_SuperHybrid_pilon	191930	193486	+	1557	530	573	600	487	434	644
MJEHNMBL_00182	E745_Chromosome_SuperHybrid_pilon	193565	194371	-	807	30	26	20	38	44	68
MJEHNMBL_00183	E745_Chromosome_SuperHybrid_pilon	194512	197085	+	2574	86	86	103	109	97	158
MJEHNMBL_00184	E745_Chromosome_SuperHybrid_pilon	197245	198090	+	846	55	54	75	83	86	175
MJEHNMBL_00185	E745_Chromosome_SuperHybrid_pilon	198335	199273	+	939	4	6	10	31	35	76
MJEHNMBL_00186	E745_Chromosome_SuperHybrid_pilon	199296	199976	+	681	4	8	4	20	14	14
MJEHNMBL_00187	E745_Chromosome_SuperHybrid_pilon	199949	200773	+	825	12	10	0	10	10	26
MJEHNMBL_00188	E745_Chromosome_SuperHybrid_pilon	200940	201758	+	819	40	44	32	82	70	163
MJEHNMBL_00189	E745_Chromosome_SuperHybrid_pilon	202261	203634	+	1374	111	155	132	293	284	489
MJEHNMBL_00190	E745_Chromosome_SuperHybrid_pilon	203728	204699	+	972	103	132	106	143	177	263
MJEHNMBL_00191	E745_Chromosome_SuperHybrid_pilon	204873	205442	+	570	16	39	30	18	14	16
MJEHNMBL_00192	E745_Chromosome_SuperHybrid_pilon	205523	206296	-	774	134	138	160	56	76	66
MJEHNMBL_00193	E745_Chromosome_SuperHybrid_pilon	206562	208262	+	1701	16	20	9	14	22	22
MJEHNMBL_00194	E745_Chromosome_SuperHybrid_pilon	208232	208450	+	219	6	12	4	3	13	18
MJEHNMBL_00195	E745_Chromosome_SuperHybrid_pilon	208470	209360	+	891	20	15	24	33	37	62
MJEHNMBL_00196	E745_Chromosome_SuperHybrid_pilon	209378	209662	+	285	6	14	16	22	19	35
MJEHNMBL_00197	E745_Chromosome_SuperHybrid_pilon	210149	210763	+	615	383	418	346	231	222	332
MJEHNMBL_00198	E745_Chromosome_SuperHybrid_pilon	210768	211073	+	306	232	202	217	106	127	205
MJEHNMBL_00199	E745_Chromosome_SuperHybrid_pilon	211326	213734	+	2409	85	68	93	121	77	170
MJEHNMBL_00200	E745_Chromosome_SuperHybrid_pilon	213749	214240	+	492	37	45	43	46	39	50
MJEHNMBL_00201	E745_Chromosome_SuperHybrid_pilon	214233	215171	+	939	28	44	30	108	88	144
MJEHNMBL_00202	E745_Chromosome_SuperHybrid_pilon	215171	216529	+	1359	114	117	95	112	153	224
MJEHNMBL_00203	E745_Chromosome_SuperHybrid_pilon	216542	217282	+	741	93	95	96	169	164	197
MJEHNMBL_00204	E745_Chromosome_SuperHybrid_pilon	217279	219348	+	2070	265	275	303	396	408	705
MJEHNMBL_00205	E745_Chromosome_SuperHybrid_pilon	219513	220412	+	900	112	172	123	113	83	156
MJEHNMBL_00206	E745_Chromosome_SuperHybrid_pilon	220425	221075	+	651	29	42	43	25	29	65
MJEHNMBL_00207	E745_Chromosome_SuperHybrid_pilon	221076	221714	+	639	83	116	91	85	68	137
MJEHNMBL_00208	E745_Chromosome_SuperHybrid_pilon	221869	222723	+	855	111	149	103	106	96	147
MJEHNMBL_00209	E745_Chromosome_SuperHybrid_pilon	222727	223236	+	510	22	22	23	19	26	36
MJEHNMBL_00210	E745_Chromosome_SuperHybrid_pilon	223491	225065	+	1575	4531	5418	4805	1321	1516	2129
MJEHNMBL_00211	E745_Chromosome_SuperHybrid_pilon	225133	226932	-	1800	54	65	64	58	66	122
MJEHNMBL_00212	E745_Chromosome_SuperHybrid_pilon	227055	227561	+	507	4	5	3	0	19	8
MJEHNMBL_00213	E745_Chromosome_SuperHybrid_pilon	227640	228362	+	723	34	27	33	55	41	64
MJEHNMBL_00214	E745_Chromosome_SuperHybrid_pilon	228440	229840	-	1401	62	88	80	94	104	150
MJEHNMBL_00215	E745_Chromosome_SuperHybrid_pilon	230010	230984	-	975	371	438	435	1491	1631	2545
MJEHNMBL_00216	E745_Chromosome_SuperHybrid_pilon	231337	231897	+	561	0	0	2	13	27	34
MJEHNMBL_00217	E745_Chromosome_SuperHybrid_pilon	231914	235435	+	3522	93	92	105	201	235	283
MJEHNMBL_00218	E745_Chromosome_SuperHybrid_pilon	235450	237045	+	1596	12	19	22	42	58	107
MJEHNMBL_00219	E745_Chromosome_SuperHybrid_pilon	237056	237325	+	270	9	4	7	11	39	37
MJEHNMBL_00220	E745_Chromosome_SuperHybrid_pilon	237392	237817	+	426	71	77	98	88	68	168
MJEHNMBL_00221	E745_Chromosome_SuperHybrid_pilon	237863	238333	+	471	185	197	197	164	202	345
MJEHNMBL_00222	E745_Chromosome_SuperHybrid_pilon	238444	239898	+	1455	48	51	24	48	58	77
MJEHNMBL_00223	E745_Chromosome_SuperHybrid_pilon	239898	240443	+	546	107	82	86	114	137	205
MJEHNMBL_00224	E745_Chromosome_SuperHybrid_pilon	240533	242644	+	2112	526	617	559	636	599	764
MJEHNMBL_00225	E745_Chromosome_SuperHybrid_pilon	242861	243748	+	888	28	22	18	92	59	81
MJEHNMBL_00226	E745_Chromosome_SuperHybrid_pilon	243749	244753	+	1005	34	28	28	69	74	87
MJEHNMBL_00227	E745_Chromosome_SuperHybrid_pilon	244864	246360	+	1497	327	411	319	856	829	1254
MJEHNMBL_00228	E745_Chromosome_SuperHybrid_pilon	246454	247749	-	1296	4	5	4	4	4	6
MJEHNMBL_00258	E745_Chromosome_SuperHybrid_pilon	256193	257386	+	1194	72	78	60	164	164	248
MJEHNMBL_00259	E745_Chromosome_SuperHybrid_pilon	257520	258815	-	1296	0	6	12	6	18	11
MJEHNMBL_00260	E745_Chromosome_SuperHybrid_pilon	259038	260513	+	1476	0	2	0	2	4	8
MJEHNMBL_00261	E745_Chromosome_SuperHybrid_pilon	260596	261384	+	789	6	8	8	40	52	64
MJEHNMBL_00262	E745_Chromosome_SuperHybrid_pilon	261451	262119	-	669	2	16	8	4	6	12
MJEHNMBL_00263	E745_Chromosome_SuperHybrid_pilon	262234	263946	+	1713	21	18	17	122	101	184
MJEHNMBL_00264	E745_Chromosome_SuperHybrid_pilon	263949	265718	+	1770	22	32	40	135	131	180
MJEHNMBL_00265	E745_Chromosome_SuperHybrid_pilon	265923	266489	-	567	40	49	38	84	102	121
MJEHNMBL_00266	E745_Chromosome_SuperHybrid_pilon	266489	267445	-	957	36	40	44	133	114	186
MJEHNMBL_00267	E745_Chromosome_SuperHybrid_pilon	267445	268101	-	657	16	4	6	24	14	34
MJEHNMBL_00268	E745_Chromosome_SuperHybrid_pilon	268471	270489	+	2019	699	847	837	134	198	210
MJEHNMBL_00269	E745_Chromosome_SuperHybrid_pilon	270916	273330	+	2415	155	171	146	449	461	659
MJEHNMBL_00270	E745_Chromosome_SuperHybrid_pilon	273678	275231	+	1554	8	4	14	22	22	44
MJEHNMBL_00271	E745_Chromosome_SuperHybrid_pilon	275612	277396	-	1785	24	28	38	781	671	1101
MJEHNMBL_00272	E745_Chromosome_SuperHybrid_pilon	277411	279132	-	1722	37	26	36	959	1023	1214
MJEHNMBL_00273	E745_Chromosome_SuperHybrid_pilon	279232	279993	+	762	31	22	22	20	28	49
MJEHNMBL_00274	E745_Chromosome_SuperHybrid_pilon	280870	281094	+	225	0	0	2	0	4	3
MJEHNMBL_00275	E745_Chromosome_SuperHybrid_pilon	281900	284692	+	2793	31	42	39	48	51	69
MJEHNMBL_00276	E745_Chromosome_SuperHybrid_pilon	284839	285858	+	1020	18	17	35	36	28	41
MJEHNMBL_00277	E745_Chromosome_SuperHybrid_pilon	287254	288324	+	1071	2	8	2	26	11	36
